CountryCode,Language,IsOfficial
DNK,German,FALSE
DNK,Norwegian,FALSE
DNK,Swedish,FALSE
DNK,Turkish,FALSE
DOM,Spanish,TRUE
DZA,Arabic,TRUE
DZA,Berberi,FALSE
ECU,Ketšua,FALSE
ECU,Spanish,TRUE
EGY,Arabic,TRUE
EGY,Sinaberberi,FALSE
ERI,Afar,FALSE
ERI,Bilin,FALSE
ERI,Hadareb,FALSE
ERI,Saho,FALSE
ERI,Tigre,FALSE
ERI,Tigrinja,TRUE
ESH,Arabic,TRUE
ESP,Basque,FALSE
ESP,Catalan,FALSE
ESP,Galecian,FALSE
ESP,Spanish,TRUE
EST,Belorussian,FALSE
EST,Estonian,TRUE
EST,Finnish,FALSE
EST,Russian,FALSE
EST,Ukrainian,FALSE
ETH,Amhara,FALSE
ETH,Gurage,FALSE
ETH,Oromo,FALSE
ETH,Sidamo,FALSE
ETH,Somali,FALSE
ETH,Tigrinja,FALSE
ETH,Walaita,FALSE
FIN,Estonian,FALSE
FIN,Finnish,TRUE
FIN,Russian,FALSE
FIN,Saame,FALSE
FIN,Swedish,TRUE
FJI,Fijian,TRUE
FJI,Hindi,FALSE
FLK,English,TRUE
FRA,Arabic,FALSE
FRA,French,TRUE
FRA,Italian,FALSE
FRA,Portuguese,FALSE
FRA,Spanish,FALSE
FRA,Turkish,FALSE
FRO,Danish,TRUE
FRO,Faroese,TRUE
FSM,Kosrean,FALSE
FSM,Mortlock,FALSE
FSM,Pohnpei,FALSE
FSM,Trukese,FALSE
FSM,Wolea,FALSE
FSM,Yap,FALSE
GAB,Fang,FALSE
GAB,Mbete,FALSE
GAB,Mpongwe,FALSE
GAB,Punu-sira-nzebi,FALSE
GBR,English,TRUE
GBR,Gaeli,FALSE
GBR,Kymri,FALSE
GEO,Abhyasi,FALSE
GEO,Armenian,FALSE
GEO,Azerbaijani,FALSE
GEO,Georgiana,TRUE
GEO,Osseetti,FALSE
GEO,Russian,FALSE
GHA,Akan,FALSE
GHA,Ewe,FALSE
GHA,Ga-adangme,FALSE
GHA,Gurma,FALSE
GHA,Joruba,FALSE
GHA,Mossi,FALSE
GIB,Arabic,FALSE
GIB,English,TRUE
GIN,Ful,FALSE
GIN,Kissi,FALSE
GIN,Kpelle,FALSE
GIN,Loma,FALSE
GIN,Malinke,FALSE
GIN,Susu,FALSE
GIN,Yalunka,FALSE
GLP,French,TRUE
GMB,Diola,FALSE
GMB,Ful,FALSE
GMB,Malinke,FALSE
GMB,Soninke,FALSE
GMB,Wolof,FALSE
GNB,Balante,FALSE
GNB,Crioulo,FALSE
GNB,Ful,FALSE
GNB,Malinke,FALSE
GNB,Mandyako,FALSE
GNB,Portuguese,TRUE
GNQ,Bubi,FALSE
GNQ,Fang,FALSE
GRC,Greek,TRUE
GRC,Turkish,FALSE
GRL,Danish,TRUE
GRL,Greenlandic,TRUE
GTM,Cakchiquel,FALSE
GTM,Kekchí,FALSE
GTM,Mam,FALSE
GTM,Quiché,FALSE
GTM,Spanish,TRUE
GUM,Chamorro,TRUE
GUM,English,TRUE
GUM,Japanese,FALSE
GUM,Korean,FALSE
GUY,Arawakan,FALSE
GUY,Caribbean,FALSE
HKG,English,TRUE
HKG,Fukien,FALSE
HKG,Hakka,FALSE
HND,Garifuna,FALSE
HND,Miskito,FALSE
HND,Spanish,TRUE
HRV,Serbo-Croatian,TRUE
HRV,Slovene,FALSE
HTI,French,TRUE
HUN,German,FALSE
HUN,Hungarian,TRUE
HUN,Romani,FALSE
HUN,Romanian,FALSE
HUN,Serbo-Croatian,FALSE
HUN,Slovak,FALSE
IDN,Bali,FALSE
IDN,Banja,FALSE
IDN,Batakki,FALSE
IDN,Bugi,FALSE
IDN,Javanese,FALSE
IDN,Madura,FALSE
IDN,Malay,TRUE
IDN,Minangkabau,FALSE
IDN,Sunda,FALSE
IND,Asami,FALSE
IND,Bengali,FALSE
IND,Gujarati,FALSE
IND,Hindi,TRUE
IND,Kannada,FALSE
IND,Malajalam,FALSE
IND,Marathi,FALSE
IND,Orija,FALSE
IND,Punjabi,FALSE
IND,Tamil,FALSE
IND,Telugu,FALSE
IND,Urdu,FALSE
IRL,English,TRUE
IRL,Irish,TRUE
IRN,Arabic,FALSE
IRN,Azerbaijani,FALSE
IRN,Bakhtyari,FALSE
IRN,Balochi,FALSE
IRN,Gilaki,FALSE
IRN,Kurdish,FALSE
IRN,Luri,FALSE
IRN,Mazandarani,FALSE
IRN,Persian,TRUE
IRN,Turkmenian,FALSE
IRQ,Arabic,TRUE
IRQ,Assyrian,FALSE
IRQ,Azerbaijani,FALSE
IRQ,Kurdish,FALSE
IRQ,Persian,FALSE
ISL,English,FALSE
ISL,Icelandic,TRUE
ISR,Arabic,TRUE
ISR,Hebrew,TRUE
ISR,Russian,FALSE
ITA,Albaniana,FALSE
ITA,French,FALSE
ITA,Friuli,FALSE
ITA,German,FALSE
ITA,Italian,TRUE
ITA,Romani,FALSE
